2531A182 2531A014;2531A163 2531A182;2531A088 2531A090;VAL;2;292152.5
2534A044 2534A045;2534A015 2534A044;VAL;2;292160.5
2534A044 2534A045;2534A015 2534A044;2534A014 2534A015;VAL;2;292160.5
2534A045 2534A013;2534A044 2534A045;2534A015 2534A044;VAL;2;292160.5
2514A020 2523A003;2514A033032514A034;2523A005 2523A006;VAL;2;292163.5
2514A020 2523A003;2523A005 2523A006;VAL;2;292163.5
2514A020 2523A003;2523A034 2523A032;2523A005 2523A006;VAL;2;292163.5
2523A015 2523A014;2514A020 2523A003;2523A005 2523A006;VAL;2;292163.5
2523A032 2523A031;2514A020 2523A003;2523A005 2523A006;VAL;2;292163.5
2523A030 2523A016;2541A018 2541A019;2523A002 2523A016;VAL;2;292191.5
2541A016 2541A017;2541A010 2541A011;VAL;2;292206.5
2514A092 2523A042;2514A040 2514A007;2514A176 2514A036;VAL;2;292226.5
2533A043 2533A007;2533A040 2533A041;2533A068 2533A041;VAL;2;292226.5
2523A031 2523A030;2523A030 2523A016;2523A028 2523A030;VAL;2;292274.5
2541A044022541A002;2532A014 2541A001;2541A009 2541A010;VAL;2;292280.5
2541A002 2532A013;2532A015 2532A016;2543A017 2543A007;VAL;2;292294.5
2523A017 2541A003;2541A017 2541A018;VAL;2;292352.5
2523A010 2523A002;2523A015 2524A001;2523A002 2523A016;VAL;2;292390.5
2543A001 2543A008;2543A020 2543A019;2541A006 2543A017;VAL;2;292395.5
2531A003032531A00401;2531A037 2531A00403;2531A020 2531A021;VAL;2;292411.5
2534A044 2534A047;VAL;2;292424.5
2523A010 2523A002;2523A050 2524A001;2523A002 2523A016;VAL;2;292432.5
2514A037 2514A092;2514A040 2514A007;2514A034 2514A176;VAL;2;292445.5
2532A027 2532A028;2532A013 2532A014;2543A017 2543A007;VAL;2;292486.5
2541A011 2541A012;2541A017 2541A018;VAL;2;292505.5
2541A011 2541A012;2541A002 2541A007;VAL;2;292508.5
2523A010 2523A002;2523A001 2523A015;2523A009 2523A001;VAL;2;292546.5
2541A013 2541A015;2541A008 2541A009;VAL;2;292564.5
2532A094 2532A001;2531A154 2532A094;2532A094 2534A012;VAL;2;292583.5
2523A030 2523A016;2541A019 2541A003;2523A002 2523A016;VAL;2;292585.5
2531A070 2531A044;2531A001022531A070;2531A070 2531A123;VAL;2;292600.5
3512A011 3512A012;3512A006 3512A017;3512A016 3512A015;VAL;2;292674.5
2533A027 2533A028;2533A028 2533A107;2533A035 2533A058;VAL;2;292684.5
2523A001 2523A010;2523A008 2523A009;2523A009 2523A001;VAL;2;292706.5
2523A003 2523A004;2523A008 2523A009;2523A009 2523A001;VAL;2;292706.5
2523A004 2523A005;2523A008 2523A009;2523A009 2523A001;VAL;2;292706.5
2523A008 2523A009;2523A009 2523A001;VAL;2;292706.5
2523A008 2523A009;2523A009 2523A001;2514A020 2523A003;VAL;2;292706.5
2523A008 2523A009;2523A009 2523A001;2523A002 2523A016;VAL;2;292706.5
2523A008 2523A009;2523A009 2523A001;2523A005 2523A006;VAL;2;292706.5
2523A010 2523A002;2523A008 2523A009;2523A009 2523A001;VAL;2;292706.5
2523A015 2523A014;2523A008 2523A009;2523A009 2523A001;VAL;2;292706.5
2523A030 2523A016;2523A008 2523A009;2523A009 2523A001;VAL;2;292706.5
2541A002 2532A013;2532A015 2532A028;2541A006 2543A017;VAL;2;292708.5
2523A002 2523A011;2523A001 2523A015;2523A015 2523A014;VAL;2;292716.5
2523A004 2523A005;2514A031 2514A020;2514A006022514A020;VAL;2;292717.5
2543A020 2543A007;2543A008 2543A009;2543A017 2543A007;VAL;2;292739.5
2543A001 2543A008;2543A010 2543A011;2543A015 2543A010;VAL;2;292740.5
2543A001 2543A008;2534A043 2543A019;2543A017 2543A007;VAL;2;292742.5
2533A043 2533A007;2533A041 2533A045;VAL;2;292757.5
2541A002 2532A013;2532A016 2541A001;2543A017 2543A007;VAL;2;292769.5
2523A001 2523A010;2523A012 2523A013;2523A002 2523A016;VAL;2;292803.5
2531A133 2531A16401;2531A164032531A15002;2531A164022531A007;VAL;2;292804.5
2541A012 2541A013;2541A007 2541A008;VAL;2;292858.5
2541A012 2541A013;2541A017 2541A018;VAL;2;292869.5
2543A010 2543A011;2543A011 2543A003;VAL;2;292874.5
2514A033032514A034;2514A176 2514A036;2514A034 2523A033;VAL;2;292969.5
2541A044022541A002;2532A013 2532A014;2541A009 2541A010;VAL;2;293008.5
2541A044022541A002;2541A002 2532A013;2541A010 2541A011;VAL;2;293008.5
2514A041 2514A00705;2532A005 2514A069;2532A005 2532A037;VAL;2;293012.5
2532A018 2532A029;2532A076 2532A071;2532A093022532A017;VAL;2;293012.5
2541A015 2541A016;2541A019 2541A003;VAL;2;293024.5
2532A013 2532A014;2532A015 2532A028;2543A017 2543A007;VAL;2;293044.5
2523A010 2523A002;2523A013 2523A048;2523A002 2523A016;VAL;2;293065.5
2541A044022541A002;2532A014 2541A001;2541A008 2541A009;VAL;2;293093.5
2531A182 2531A014;2531A090 2531A094;2531A163 2533A074;VAL;2;293118.5
2514A092 2523A042;2514A039 2514A040;2514A176 2514A036;VAL;2;293126.5
2543A020 2543A007;2543A001 2543A008;2541A006 2543A017;VAL;2;293175.5
2531A182 2531A014;2531A163 2531A182;2531A090 2531A094;VAL;2;293185.5
2523A003 2523A004;2514A031 2514A020;2514A006022514A020;VAL;2;293189.5
2532A027 2532A028;2532A014 2541A001;2543A017 2543A007;VAL;2;293214.5
2541A011 2541A012;2541A007 2541A008;VAL;2;293222.5
2533A045 2533A042;2533A043 2533A045;2533A043 2533A007;VAL;2;293252.5
2532A027 2532A028;2541A002 2532A013;2541A001 2541A006;VAL;2;293261.5
2533A089 2533A088;3511A015 3511A009;2533A009 3511A015;VAL;2;293280.5
2543A007 2543A001;2534A043 2543A019;2543A008 2543A009;VAL;2;293290.5
2543A007 2543A001;2543A008 2543A009;VAL;2;293290.5
2543A007 2543A001;2543A008 2543A009;2543A015 2543A010;VAL;2;293290.5
2543A007 2543A001;2543A020 2543A019;2543A008 2543A009;VAL;2;293290.5
2543A020 2543A007;2543A007 2543A001;2543A008 2543A009;VAL;2;293290.5
2541A016 2541A017;2541A011 2541A012;VAL;2;293330.5
2514A037 2514A092;2514A039 2514A040;2514A034 2514A176;VAL;2;293345.5
2541A002 2532A013;2532A015 2532A016;2541A006 2543A017;VAL;2;293362.5
2533A093 2533A067;2533A025 2533A067;2533A067 2533A068;VAL;2;293374.5
3511A008 3511A023;3512A012 3512A016;3511A073 3512A011;VAL;2;293374.5
3512A012 3512A016;3511A073 3512A011;3511A023 3512A011;VAL;2;293374.5
2541A013 2541A015;2541A009 2541A010;VAL;2;293377.5
2523A002 2523A011;2523A001 2523A015;2523A015 2524A001;VAL;2;293380.5
2523A002 2523A011;2523A015 2524A001;VAL;2;293380.5
2514A092 2523A042;2514A038 2514A039;2514A034 2514A176;VAL;2;293396.5
3512A006 3512A007;2534A024 2534A025;2534A004 2534A005;VAL;2;293408.5
2541A015 2541A016;2541A018 2541A019;VAL;2;293418.5
2523A002 2523A011;2523A001 2523A015;2523A050 2524A001;VAL;2;293422.5
2523A002 2523A011;2523A050 2524A001;VAL;2;293422.5
2541A015 2541A016;2541A010 2541A011;VAL;2;293435.5
2543A001 2543A008;2543A020 2543A019;2543A017 2543A007;VAL;2;293463.5
2531A011 2442A021;2531A011 2531A012;2531A011 2513A100;VAL;2;293512.5
2514A092 2523A042;2514A037 2514A038;2514A034 2514A176;VAL;2;293537.5
2533A015 2533A016;2533A016 2533A11808;2533A016 2533A111;VAL;2;293542.5
2514A037 2514A092;2514A040 2514A007;2514A176 2514A036;VAL;2;293543.5
2532A027 2532A028;2532A013 2532A014;2541A006 2543A017;VAL;2;293554.5
2533A009 3511A010;2534A001 2533A009;2533A009 3511A015;VAL;2;293566.5
3511A015 3511A009;3511A015 2533A089;2533A009 3511A015;VAL;2;293572.5
3512A007 3512A002;2534A024 2534A025;2534A004 2534A005;VAL;2;293575.5
2523A007 2523A024;VAL;2;293576.5
2531A162 2531A125;2531A183062531A162;2531A162 2531A00101;VAL;2;293584.5
2543A007 2543A001;2541A001 2541A006;2534A043 2543A019;VAL;2;293595.5
2534A002 2534A001;2534A032 2534A002;2534A002 2534A018;VAL;2;293631.5
