2541A044022541A002;2532A014 2541A001;2541A009 2541A010;2;292280.5
2541A002 2532A013;2532A015 2532A016;2543A017 2543A007;2;292294.5
2523A010 2523A002;2523A015 2524A001;2523A002 2523A016;2;292390.5
2543A001 2543A008;2543A020 2543A019;2541A006 2543A017;2;292395.5
2531A003032531A00401;2531A037 2531A00403;2531A020 2531A021;2;292411.5
2523A010 2523A002;2523A050 2524A001;2523A002 2523A016;2;292432.5
2514A037 2514A092;2514A040 2514A007;2514A034 2514A176;2;292445.5
2532A027 2532A028;2532A013 2532A014;2543A017 2543A007;2;292486.5
2523A010 2523A002;2523A001 2523A015;2523A009 2523A001;2;292546.5
2532A094 2532A001;2531A154 2532A094;2532A094 2534A012;2;292583.5
2523A030 2523A016;2541A019 2541A003;2523A002 2523A016;2;292585.5
2531A070 2531A044;2531A001022531A070;2531A070 2531A123;2;292600.5
3512A011 3512A012;3512A006 3512A017;3512A016 3512A015;2;292674.5
2533A027 2533A028;2533A028 2533A107;2533A035 2533A058;2;292684.5
2523A001 2523A010;2523A008 2523A009;2523A009 2523A001;2;292706.5
2523A003 2523A004;2523A008 2523A009;2523A009 2523A001;2;292706.5
2523A004 2523A005;2523A008 2523A009;2523A009 2523A001;2;292706.5
2523A008 2523A009;2523A009 2523A001;2514A020 2523A003;2;292706.5
2523A008 2523A009;2523A009 2523A001;2523A002 2523A016;2;292706.5
2523A008 2523A009;2523A009 2523A001;2523A005 2523A006;2;292706.5
2523A010 2523A002;2523A008 2523A009;2523A009 2523A001;2;292706.5
2523A015 2523A014;2523A008 2523A009;2523A009 2523A001;2;292706.5
2523A030 2523A016;2523A008 2523A009;2523A009 2523A001;2;292706.5
2541A002 2532A013;2532A015 2532A028;2541A006 2543A017;2;292708.5
2523A002 2523A011;2523A001 2523A015;2523A015 2523A014;2;292716.5
2523A004 2523A005;2514A031 2514A020;2514A006022514A020;2;292717.5
2543A020 2543A007;2543A008 2543A009;2543A017 2543A007;2;292739.5
2543A001 2543A008;2543A010 2543A011;2543A015 2543A010;2;292740.5
2543A001 2543A008;2534A043 2543A019;2543A017 2543A007;2;292742.5
2541A002 2532A013;2532A016 2541A001;2543A017 2543A007;2;292769.5
2523A001 2523A010;2523A012 2523A013;2523A002 2523A016;2;292803.5
2531A133 2531A16401;2531A164032531A15002;2531A164022531A007;2;292804.5
2514A033032514A034;2514A176 2514A036;2514A034 2523A033;2;292969.5
2541A044022541A002;2532A013 2532A014;2541A009 2541A010;2;293008.5
2541A044022541A002;2541A002 2532A013;2541A010 2541A011;2;293008.5
2514A041 2514A00705;2532A005 2514A069;2532A005 2532A037;2;293012.5
2532A018 2532A029;2532A076 2532A071;2532A093022532A017;2;293012.5
2532A013 2532A014;2532A015 2532A028;2543A017 2543A007;2;293044.5
2523A010 2523A002;2523A013 2523A048;2523A002 2523A016;2;293065.5
2541A044022541A002;2532A014 2541A001;2541A008 2541A009;2;293093.5
2531A182 2531A014;2531A090 2531A094;2531A163 2533A074;2;293118.5
2514A092 2523A042;2514A039 2514A040;2514A176 2514A036;2;293126.5
2543A020 2543A007;2543A001 2543A008;2541A006 2543A017;2;293175.5
2531A182 2531A014;2531A163 2531A182;2531A090 2531A094;2;293185.5
2523A003 2523A004;2514A031 2514A020;2514A006022514A020;2;293189.5
2532A027 2532A028;2532A014 2541A001;2543A017 2543A007;2;293214.5
2533A045 2533A042;2533A043 2533A045;2533A043 2533A007;2;293252.5
2532A027 2532A028;2541A002 2532A013;2541A001 2541A006;2;293261.5
2533A089 2533A088;3511A015 3511A009;2533A009 3511A015;2;293280.5
2543A007 2543A001;2534A043 2543A019;2543A008 2543A009;2;293290.5
2543A007 2543A001;2543A008 2543A009;2543A015 2543A010;2;293290.5
2543A007 2543A001;2543A020 2543A019;2543A008 2543A009;2;293290.5
2543A020 2543A007;2543A007 2543A001;2543A008 2543A009;2;293290.5
2514A037 2514A092;2514A039 2514A040;2514A034 2514A176;2;293345.5
2541A002 2532A013;2532A015 2532A016;2541A006 2543A017;2;293362.5
