28;12;15;2514A005022514A00601;790;58
27;12;14;2514A006022514A020;1454;106
30;14;17;2514A020 2523A003;1369;65
567;360;361;2532A071 2532A101;499;29
29;13;67;2514A033032514A034;1833;134
24;11;12;2514A019032514A00604;1206;89
23;10;99;2514A018 2514A141;5180;246
813;561;562;2531A078 2531A079;109;8
26;12;13;2514A006032514A03301;830;63
814;562;563;2513A099 2531A078;1483;68
25;11;13;2514A033022514A01902;941;68
786;534;562;2514A088 2531A078;1724;97
37;17;290;2523A003 2514A171;2313;157
785;533;535;2514A086 2514A087;5374;388
38;18;19;2523A004 2523A005;1296;64
784;533;534;2514A086 2514A088;2404;116
35;16;715;2514A031 2523A014;3470;137
783;532;537;2514A061 2514A077;2531;113
36;17;18;2523A003 2523A004;1313;53
790;537;538;2514A077 2514A078;116;9
33;15;62;2514A030 2514A00501;946;55
789;536;541;2514A062 2514A064;3337;207
34;15;112;2514A139 2514A00504;1257;92
788;536;537;2514A062 2514A077;1133;58
31;14;16;2514A031 2514A020;2476;179
787;534;563;2514A088 2513A099;1344;71
518;270;271;2532A002 2532A034;3455;185
32;15;16;2514A031 2514A00503;2780;138
520;274;275;2532A097 2532A064;626;29
521;275;276;2532A064 2532A063;2896;154
43;20;124;2523A006 2523A027;4611;271
791;538;539;2514A074 2514A078;2990;157
44;21;61;2523A007 2523A008;3288;182
42;20;21;2523A006 2523A007;2733;132
39;18;291;2523A004 2523A026;2208;128
40;19;20;2523A005 2523A006;987;47
782;532;536;2514A061 2514A062;2898;143
55;25;74;2523A002 2523A016;1971;95
338;180;275;2532A045 2532A064;2119;126
336;180;181;2532A045 2532A07601;1040;68
341;181;360;2532A076 2532A071;3907;261
339;181;183;2532A076022532A047;1473;85
340;181;274;2532A076042532A097;1231;68
87;40;295;2514A036 2514A137;1302;54
88;41;42;2514A039 2514A040;1087;78
89;41;299;2514A039 2514A136;642;43
90;42;349;2514A040 2514A135;299;22
91;42;44;2514A040 2514A007;857;51
92;43;44;2514A041 2514A00705;2052;112
93;43;70;2532A005 2514A041;8328;565
94;43;298;2514A041 2514A134;3600;227
84;39;40;2514A176 2514A036;3287;155
85;39;67;2514A034 2514A176;1234;54
86;39;300;2514A176 2514A177;531;30
375;199;200;2532A037 2532A072;6225;360
106;48;329;2532A017 2532A075;3746;282
376;200;273;2532A072 2532A073;1253;88
105;48;69;2532A017 2532A018;3668;145
377;200;274;2532A072 2532A097;5585;319
104;47;218;2541A004 2541A04405;789;56
103;47;68;2541A044022541A002;1606;69
110;50;51;2532A014 2541A001;862;64
109;49;328;2532A013 2532A089;3341;190
108;49;68;2541A002 2532A013;4274;263
107;49;50;2532A013 2532A014;1917;125
98;45;306;2532A106 2532A107;477;17
97;45;305;2532A106 2532A109;861;33
